ano,homicidio,furto,roubo,frv
2025,78,16508,3404,5005
2024,86,18087,4289,4867
2023,98,18653,5438,5281
2022,116,17252,5568,5361
2021,107,15368,5490,4987
2020,124,11401,4999,4417
2019,136,15473,6569,6039
2018,136,16282,7034,6950
2017,137,16980,9273,7489
2016,115,17440,9451,7350
2015,121,18101,8887,6817
2014,145,19620,8958,8058
2013,136,16465,7661,9263
2012,144,18793,8711,9965
2011,146,18797,8981,9170
2010,157,17555,8906,9290
2009,154,16978,10552,9106
2008,141,14922,8948,7528
2007,141,15905,9630,8682
2006,163,16658,9758,10622
2005,224,17292,9664,10161
2004,362,17369,9892,9853
2003,495,15618,9867,10907
2002,453,13381,8603,10376
2001,542,13662,10884,14120
