ano,homicidio,furto,roubo,frv
2025,501,250168,98358,48571
2024,481,241369,115172,54943
2023,481,250825,133324,55502
2022,560,235449,142921,58093
2021,561,187785,128589,47987
2020,659,164444,127513,41000
2019,650,226566,141134,58560
2018,672,201798,136589,67255
2017,713,193686,152606,74981
2016,844,183350,159557,82830
2015,991,176579,154706,82005
2014,1131,189162,160128,98967
2013,1175,201305,126526,99190
2012,1368,199428,113044,86945
2011,1019,198252,109709,83295
2010,1196,171273,110909,77855
2009,1237,176644,123501,79118
2008,1263,154539,109637,74617
2007,1538,148305,108901,78477
2006,1981,172168,105895,90582
2005,2468,176119,111045,101723
2004,3368,166095,114201,102826
2003,4276,142694,132410,92880
2002,4631,126401,120706,96283
2001,5174,115678,112207,108676
