ano,homicidios,furtos,roubos,frvHabitantes,furtoVeiculo,rouboVeiculo,frvVeiculos
2025,6.84,1447.17,298.41,438.76,379.48,113.20,492.68
2024,7.54,1586.39,376.18,426.88,366.35,124.03,490.38
2023,8.60,1636.04,476.96,463.19,369.91,176.06,545.97
2022,9.39,1397.03,450.88,434.12,370.35,195.31,565.66
2021,9.06,1300.66,464.64,422.07,336.77,198.09,534.86
2020,10.45,960.59,421.19,372.16,293.32,186.18,479.50
2019,11.56,1315.70,558.58,513.51,405.16,255.05,660.21
2018,11.67,1397.37,603.68,596.47,430.31,346.69,777.00
2017,11.91,1475.56,805.82,650.79,476.31,375.83,852.14
2016,10.06,1526.32,827.13,643.26,465.78,384.14,849.93
2015,10.67,1595.44,783.31,600.86,449.11,346.31,795.42
2014,12.91,1746.73,797.51,717.39,509.69,445.01,954.70
2013,12.23,1480.60,688.91,832.97,535.28,587.52,1122.81
2012,13.08,1706.95,791.21,905.11,675.56,588.66,1264.22
2011,13.39,1724.50,823.94,841.28,626.28,605.33,1231.62
2010,14.55,1626.76,825.29,860.87,635.48,699.57,1335.05
2009,14.43,1590.56,988.55,853.08,674.81,731.97,1406.79
2008,13.35,1412.70,847.13,712.69,630.54,603.98,1234.52
2007,13.49,1521.42,921.17,830.49,712.73,814.02,1526.76
2006,15.75,1609.62,942.89,1026.38,949.31,1080.81,2030.12
2005,21.87,1688.33,943.56,992.08,1059.82,1032.84,2092.66
2004,35.73,1714.24,976.30,972.45,1285.84,871.38,2157.22
2003,49.38,1558.07,984.34,1088.09,1267.31,1239.04,2506.35
2002,45.68,1349.33,867.52,1046.31,1107.88,1371.17,2479.05
2001,55.28,1393.44,1110.10,1440.16,1486.70,1991.13,3477.82
2000,50.17,1134.37,1136.65,1838.94,-,-,-
1999,52.69,1126.10,890.68,1571.12,-,-,-
