ano,homicidios,furtos,roubos,frvHabitantes,furtoVeiculo,rouboVeiculo,frvVeiculos
2025,4.48,1124.07,361.48,347.10,367.80,159.88,527.68
2024,5.03,1168.53,433.07,386.83,403.42,206.34,609.76
2023,5.95,1052.63,475.28,353.66,390.21,190.22,580.43
2022,5.55,924.02,471.15,360.85,427.34,237.18,664.51
2021,4.85,782.53,478.54,326.61,396.99,201.59,598.58
2020,6.77,672.27,433.66,248.17,297.34,169.93,467.26
2019,4.98,853.70,471.37,312.17,355.28,241.35,596.62
2018,6.08,779.70,541.96,381.74,434.93,317.90,752.83
2017,9.98,786.34,659.09,450.51,546.74,357.01,903.75
2016,9.84,782.19,833.85,496.04,547.46,466.09,1013.55
2015,9.78,784.79,839.75,514.92,540.25,531.52,1071.77
2014,14.12,900.96,503.01,586.49,638.91,604.48,1243.39
2013,13.80,896.07,582.63,472.38,477.28,567.44,1044.73
2012,14.43,857.37,596.25,554.48,555.14,752.09,1307.22
2011,16.13,768.37,581.81,403.60,445.27,575.66,1020.93
2010,13.44,788.35,503.58,365.95,489.35,517.52,1006.87
2009,15.09,770.56,550.10,354.77,561.72,495.74,1057.45
2008,21.39,836.85,481.64,374.84,660.42,525.58,1186.00
2007,22.50,756.92,449.40,371.37,668.90,597.11,1266.01
2006,30.68,733.46,434.46,461.44,938.94,773.99,1712.93
2005,30.30,702.62,446.04,547.56,1280.07,909.91,2189.98
2004,33.98,700.51,441.06,447.15,1033.01,878.00,1911.02
2003,43.65,714.18,543.32,442.07,979.96,1029.57,2009.53
2002,53.24,708.50,502.78,494.26,1221.76,1154.18,2375.94
2001,47.31,628.79,502.42,620.23,1459.14,1720.02,3179.16
2000,48.02,445.98,553.36,652.49,-,-,-
1999,58.03,406.00,632.22,709.01,-,-,-
