ano,homicidios,furtos,roubos,frvHabitantes,furtoVeiculo,rouboVeiculo,frvVeiculos
2025,5.59,1089.62,477.28,428.08,511.07,111.37,622.44
2024,4.24,1072.86,500.19,452.86,555.72,128.54,684.26
2023,5.33,1148.23,701.52,507.57,630.58,160.26,790.83
2022,4.83,1122.16,806.52,537.44,612.57,188.27,800.84
2021,3.66,913.20,778.91,423.80,459.85,181.19,641.05
2020,8.24,751.95,723.98,390.62,462.90,132.61,595.51
2019,6.64,979.21,884.25,536.86,631.00,200.51,831.51
2018,7.98,899.31,1169.64,672.71,744.87,324.19,1069.06
2017,9.91,899.36,1441.10,710.64,747.14,404.24,1151.39
2016,7.26,951.00,1368.17,761.10,726.65,523.56,1250.20
2015,10.40,972.27,1187.74,720.10,712.01,488.13,1200.14
2014,9.23,1008.66,1262.35,884.64,912.06,592.09,1504.16
2013,12.98,992.52,713.14,760.72,890.91,458.96,1349.87
2012,13.00,922.37,703.73,637.53,815.06,381.04,1196.10
2011,10.93,848.80,583.33,546.95,706.92,400.92,1107.85
2010,9.15,792.95,623.14,513.19,738.67,389.45,1128.12
2009,15.17,844.94,643.69,614.26,991.37,505.93,1497.30
2008,15.94,887.31,629.17,570.99,989.89,531.60,1521.49
2007,17.92,855.43,544.54,533.85,1021.05,533.54,1554.59
2006,11.16,631.10,387.71,503.98,1088.34,522.48,1610.83
2005,11.64,454.75,327.65,376.01,772.85,523.74,1296.59
2004,14.55,429.40,333.49,304.55,639.91,485.39,1125.30
2003,41.92,880.57,651.20,556.41,1335.73,845.63,2181.36
2002,54.82,728.07,643.40,648.27,1542.29,1139.71,2682.00
2001,50.40,747.77,705.77,820.17,2092.89,1556.08,3648.97
2000,37.22,831.65,713.22,756.28,-,-,-
1999,33.76,932.53,736.67,741.05,-,-,-
