ano,homicidios,furtos,roubos,frvHabitantes,furtoVeiculo,rouboVeiculo,frvVeiculos
2025,4.08,1113.84,172.98,213.06,214.96,30.45,245.42
2024,4.54,1313.99,256.50,236.35,241.74,36.01,277.75
2023,4.54,1380.81,307.01,251.39,234.21,68.95,303.15
2022,6.95,1288.84,353.44,294.80,303.32,75.52,378.84
2021,7.69,1097.12,368.13,307.01,306.65,71.08,377.73
2020,6.62,889.44,276.80,216.89,208.30,65.43,273.73
2019,5.84,1287.94,434.57,330.49,311.83,104.68,416.51
2018,6.81,1509.63,479.48,367.01,329.79,140.26,470.05
2017,5.89,1367.38,561.18,335.05,289.01,141.78,430.79
2016,7.79,1578.73,569.56,430.15,414.11,142.72,556.83
2015,7.10,1657.76,540.24,437.28,411.59,157.21,568.80
2014,7.20,2040.24,671.26,671.26,572.90,306.34,879.25
2013,10.32,1963.63,631.89,682.22,670.27,241.17,911.44
2012,12.72,1859.95,585.79,603.67,610.20,222.88,833.08
2011,7.19,1871.49,608.64,621.38,693.23,200.62,893.84
2010,7.12,1797.86,540.27,491.74,624.75,121.38,746.13
2009,6.74,1882.91,589.34,471.27,667.71,101.44,769.15
2008,6.17,1746.50,489.97,316.83,483.06,68.58,551.64
2007,7.84,2155.09,526.89,310.81,484.24,97.04,581.28
2006,7.79,2286.26,585.69,375.88,648.74,105.52,754.26
2005,9.73,2304.88,620.55,382.35,684.14,123.28,807.42
2004,10.28,2209.22,597.36,408.52,752.75,145.71,898.46
2003,13.65,2259.42,587.29,321.22,582.99,147.02,730.01
2002,26.68,1820.42,530.96,262.62,465.68,148.98,614.66
2001,34.21,1935.35,666.30,238.10,380.32,196.28,576.59
2000,43.23,1673.38,703.82,258.60,-,-,-
1999,39.94,1552.66,688.39,337.04,-,-,-
