ano,homicidios,furtos,roubos,frvHabitantes,furtoVeiculo,rouboVeiculo,frvVeiculos
2025,4.63,1171.53,688.88,605.73,605.51,146.37,751.88
2024,4.25,1235.68,803.02,737.40,714.62,219.42,934.03
2023,4.25,1306.75,871.30,780.04,735.70,275.54,1011.24
2022,4.35,1310.01,1001.11,977.52,886.06,341.55,1227.61
2021,4.32,1076.18,929.06,696.58,617.95,255.37,873.33
2020,5.74,806.77,831.15,557.64,487.04,223.51,710.55
2019,7.34,904.60,951.08,871.94,805.01,317.74,1122.76
2018,7.22,1011.00,1076.82,975.06,812.18,472.66,1284.85
2017,5.23,1086.81,1264.48,1035.28,776.54,607.00,1383.54
2016,5.53,1098.14,1314.51,1073.85,782.37,673.11,1455.49
2015,6.13,997.66,1258.89,913.79,594.50,657.03,1251.54
2014,10.09,1128.11,1260.19,1130.89,801.78,764.50,1566.28
2013,8.65,1150.75,881.61,1106.01,801.83,750.57,1552.40
2012,9.56,1215.41,807.14,949.36,736.78,643.75,1380.53
2011,9.73,1320.84,975.00,865.57,607.41,718.82,1326.23
2010,11.54,1100.45,925.05,792.25,682.10,601.36,1283.47
2009,12.77,1139.63,1035.72,880.15,717.07,802.41,1519.48
2008,16.38,1154.16,911.90,856.95,755.03,811.38,1566.41
2007,10.31,1243.16,880.35,909.18,804.96,961.37,1766.33
2006,13.04,1222.30,907.95,1210.16,1023.32,1465.01,2488.33
2005,15.50,1248.49,999.67,1315.63,1239.10,1600.37,2839.47
2004,17.23,1075.44,810.47,1368.07,1349.46,1722.46,3071.93
2003,28.68,1244.38,951.76,1576.45,1432.17,2220.17,3652.34
2002,29.72,1115.31,924.01,1730.66,1376.30,2756.59,4132.89
2001,32.62,991.52,964.10,1817.47,1548.73,2971.38,4520.11
2000,43.20,880.39,929.76,2074.30,-,-,-
1999,39.43,950.11,1097.13,1951.92,-,-,-
