ano,homicidios,furtos,roubos,frvHabitantes,furtoVeiculo,rouboVeiculo,frvVeiculos
2025,2.64,1343.19,362.39,259.61,323.82,43.11,366.93
2024,4.55,1354.01,414.32,315.94,407.34,48.33,455.67
2023,2.87,1583.55,570.38,356.39,448.06,75.20,523.26
2022,3.22,967.67,407.88,197.91,378.28,35.87,414.16
2021,2.89,887.83,298.72,154.89,298.20,28.32,326.52
2020,1.89,757.41,305.34,132.80,238.62,38.81,277.43
2019,3.46,976.10,438.11,202.38,361.57,60.98,422.56
2018,2.78,953.93,525.06,266.00,433.18,124.49,557.67
2017,2.26,1020.17,611.30,299.30,549.47,82.22,631.69
2016,3.32,1077.21,712.83,295.45,505.50,116.80,622.30
2015,1.94,1135.62,759.60,302.65,526.92,106.86,633.77
2014,3.01,1249.73,885.41,369.45,600.10,174.32,774.42
2013,5.34,1586.30,698.76,274.20,469.19,108.77,577.96
2012,6.27,1660.35,666.54,297.18,516.13,122.87,639.00
2011,4.67,1537.29,780.60,362.07,666.18,139.15,805.34
2010,6.51,1285.35,732.03,421.46,824.44,153.14,977.57
2009,5.99,1340.61,729.84,472.10,959.86,190.64,1150.50
2008,2.92,1181.55,580.84,415.90,906.12,155.36,1061.48
2007,4.94,1569.29,780.89,467.80,1120.68,130.78,1251.46
2006,8.46,1542.14,865.33,403.88,1003.14,141.82,1144.95
2005,8.50,1473.67,828.77,390.45,935.83,228.04,1163.86
2004,10.40,1607.45,911.17,422.15,1081.15,224.62,1305.77
2003,12.88,1561.74,925.02,492.09,1384.98,189.24,1574.22
2002,18.56,1355.67,791.43,376.59,1119.81,125.18,1245.00
2001,19.39,1051.64,562.26,342.51,1048.40,113.72,1162.12
2000,16.85,1095.35,519.75,252.96,-,-,-
1999,26.24,1301.74,663.13,350.77,-,-,-
