ano,homicidios,furtos,roubos,frvHabitantes,furtoVeiculo,rouboVeiculo,frvVeiculos
2025,6.73,1294.18,134.02,270.73,307.37,44.61,351.98
2024,7.23,1252.83,180.42,276.69,307.87,58.08,365.95
2023,6.00,1297.15,221.33,300.83,335.29,75.86,411.15
2022,5.55,1294.65,212.45,230.68,247.16,64.43,311.59
2021,5.57,1035.50,182.60,203.09,225.70,40.25,265.95
2020,7.49,733.76,205.66,169.84,165.28,65.05,230.33
2019,7.14,1045.81,292.73,255.07,269.19,77.88,347.07
2018,7.69,1200.96,385.76,347.92,376.32,106.24,482.56
2017,8.79,1210.16,597.55,366.94,379.37,130.31,509.67
2016,9.83,1193.56,576.80,408.22,436.92,136.29,573.21
2015,8.50,1147.92,477.76,568.03,594.17,210.24,804.42
2014,13.80,1251.39,423.08,573.42,602.43,227.11,829.54
2013,9.70,1288.90,342.12,591.51,673.07,211.09,884.15
2012,10.82,1307.69,372.91,521.74,680.63,141.69,822.32
2011,8.60,1250.20,340.37,400.21,548.95,119.36,668.31
2010,10.07,1291.44,308.82,408.17,615.01,121.34,736.35
2009,10.93,1331.62,358.93,311.91,442.48,169.50,611.99
2008,12.16,1117.95,227.68,244.42,390.01,118.88,508.89
2007,9.67,1392.25,242.85,252.34,457.41,104.48,561.90
2006,15.11,1375.53,267.97,273.25,513.45,133.10,646.55
2005,18.69,1608.50,371.31,328.73,689.24,136.73,825.98
2004,20.15,1690.64,357.98,343.85,771.02,135.54,906.55
2003,23.20,1824.99,392.79,313.81,685.64,174.43,860.07
2002,25.97,1538.81,387.05,316.55,674.61,222.47,897.09
2001,23.89,1527.24,398.93,311.14,709.01,211.41,920.41
2000,23.51,1214.00,365.82,279.28,-,-,-
1999,20.01,1250.77,394.90,310.50,-,-,-
