ano,homicidios,furtos,roubos,frvHabitantes,furtoVeiculo,rouboVeiculo,frvVeiculos
2025,3.45,932.72,451.57,407.82,370.01,128.92,498.92
2024,3.70,910.88,525.77,428.01,352.16,180.37,532.53
2023,3.57,922.46,654.22,470.29,356.86,234.80,591.66
2022,6.26,993.13,744.82,528.54,367.16,336.63,703.79
2021,3.56,763.95,673.28,383.75,275.11,232.29,507.40
2020,5.00,593.38,622.76,322.96,238.27,194.93,433.20
2019,4.30,809.21,790.67,495.77,368.01,298.37,666.37
2018,4.70,691.05,843.62,507.68,344.65,347.69,692.34
2017,6.50,827.99,870.39,524.48,330.90,390.03,720.94
2016,7.04,821.58,945.02,639.06,387.19,499.11,886.30
2015,6.32,902.13,1025.70,618.48,392.29,470.75,863.04
2014,8.52,834.78,956.78,814.93,500.23,650.80,1151.03
2013,9.73,1147.89,738.92,847.02,491.60,741.70,1233.30
2012,10.32,1122.73,703.87,717.93,490.57,601.83,1092.39
2011,11.17,947.86,804.77,778.54,466.26,784.60,1250.86
2010,8.89,923.10,865.71,718.11,476.93,748.41,1225.34
2009,11.33,990.03,1039.30,698.75,489.56,775.23,1264.79
2008,9.29,1079.79,914.88,663.65,502.49,755.74,1258.23
2007,11.51,1075.08,802.67,689.01,512.02,890.52,1402.54
2006,14.31,991.84,854.29,777.63,635.20,1048.06,1683.26
2005,20.01,1048.06,870.68,897.36,837.28,1196.37,2033.65
2004,28.56,1057.30,769.67,830.76,741.33,1218.39,1959.72
2003,35.31,1054.90,784.46,915.73,767.44,1480.16,2247.61
2002,35.35,928.24,707.22,964.00,968.77,1463.73,2432.50
2001,37.23,950.56,773.00,1120.78,993.13,1949.60,2942.73
2000,52.79,718.01,756.49,1204.12,-,-,-
1999,51.19,831.73,787.71,1297.10,-,-,-
