ano,homicidios,furtos,roubos,frvHabitantes,furtoVeiculo,rouboVeiculo,frvVeiculos
2025,4.12,760.01,87.45,117.31,143.65,16.93,160.59
2024,3.28,748.38,137.80,123.80,145.22,28.68,173.90
2023,6.28,870.33,171.50,196.77,252.13,32.65,284.78
2022,6.14,752.73,181.38,204.33,272.39,51.89,324.28
2021,6.28,693.33,233.71,153.76,172.58,65.15,237.72
2020,5.17,562.20,252.68,176.27,217.18,60.79,277.97
2019,4.95,724.88,311.95,319.31,403.70,101.04,504.74
2018,5.58,814.47,407.23,415.25,506.27,163.22,669.48
2017,6.69,903.65,456.41,473.86,588.04,181.99,770.02
2016,10.88,937.64,625.58,473.38,572.05,206.24,778.29
2015,9.52,802.76,514.60,422.12,486.86,214.05,700.91
2014,8.29,797.58,481.59,448.44,459.48,296.00,755.48
2013,9.93,892.91,438.59,443.93,494.53,272.19,766.73
2012,10.21,929.68,466.15,441.86,512.42,279.23,791.65
2011,9.72,944.84,546.92,448.42,495.46,342.72,838.18
2010,8.74,973.76,562.54,401.05,499.65,291.20,790.84
2009,11.13,959.56,620.72,441.14,565.30,359.61,924.91
2008,9.33,931.98,523.37,453.14,651.54,365.64,1017.19
2007,11.63,1080.56,561.46,400.00,621.87,349.25,971.11
2006,14.50,1124.31,569.74,519.68,838.23,513.37,1351.60
2005,14.55,1164.96,593.69,548.85,928.10,590.48,1518.58
2004,24.16,1037.13,502.84,493.97,912.36,518.62,1430.98
2003,30.90,951.67,586.89,484.13,897.01,546.42,1443.42
2002,33.37,853.89,513.34,464.89,921.39,515.89,1437.27
2001,42.15,840.37,535.50,567.79,1078.90,744.86,1823.77
2000,48.71,957.24,564.79,604.76,-,-,-
1999,47.85,870.79,573.62,474.32,-,-,-
