ano,homicidios,furtos,roubos,frvHabitantes,furtoVeiculo,rouboVeiculo,frvVeiculos
2025,4.40,2194.73,862.90,426.11,387.83,99.55,487.38
2024,4.21,2111.74,1007.64,480.70,434.78,128.83,563.61
2023,4.21,2194.47,1166.45,485.59,428.29,158.37,586.67
2022,4.56,1917.31,1163.84,473.06,454.76,180.11,634.88
2021,4.71,1576.06,1079.23,402.75,386.21,153.63,539.84
2020,5.51,1375.67,1066.72,342.99,308.75,159.49,468.24
2019,5.47,1907.04,1187.94,492.91,436.47,248.21,684.68
2018,5.69,1709.09,1156.82,569.60,488.84,325.05,813.89
2017,6.10,1655.99,1304.76,641.08,529.90,403.95,933.85
2016,7.25,1575.33,1370.91,711.67,572.29,488.94,1061.23
2015,8.56,1524.63,1335.77,708.05,576.85,503.56,1080.41
2014,9.82,1642.91,1390.74,859.55,677.68,673.63,1351.31
2013,10.27,1758.69,1105.39,866.57,691.49,723.39,1414.88
2012,12.02,1752.58,993.43,764.08,631.69,647.81,1279.50
2011,9.01,1752.53,969.82,736.32,645.97,611.82,1257.79
2010,10.63,1522.97,986.21,692.29,672.09,546.28,1218.37
2009,11.08,1581.67,1105.83,708.42,700.34,581.84,1282.18
2008,11.38,1393.03,988.28,672.60,737.59,537.01,1274.60
2007,13.96,1345.84,988.26,712.17,812.66,630.80,1443.45
2006,18.10,1573.04,967.53,827.62,1048.65,749.53,1798.18
2005,22.71,1620.89,1021.99,936.20,1212.41,928.18,2140.59
2004,31.24,1540.44,1059.15,953.66,1195.91,1000.72,2196.62
2003,39.97,1333.79,1237.66,868.17,1158.55,946.79,2105.34
2002,43.63,1190.92,1137.27,907.16,1249.70,1035.15,2284.84
2001,49.16,1099.04,1066.06,1032.52,1423.03,1275.53,2698.56
2000,51.23,1034.32,1046.44,1175.01,-,-,-
1999,52.58,1085.19,1068.39,1108.17,-,-,-
